TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


486729,87 62 
486998,67 64 
487262,34 122 
487785,77 125 
488239,28 137 
488307,08 65 
488855,81 144 
488857,25 144 
488858,44 144 
489333,61 101 
489334,77 100 
489334,77 52 
489375,6 1
489375,6 1
489375,6 2
489375,6 60 
489415,07 61 
490442,89 62 
490459,34 64 
490851,87 122 
491410,58 125 
491806,41 137 
491921,45 65 
492470,07 144 
492471,6 144 
492472,93 144 
492950,16 101 
492951,33 100 
492951,33 52 
492990,93 1
492990,93 2
492990,93 2
492990,93 60 
493020,27 61 
494044 62 
494106,51 64 
494450,73 122 
495013,47 125 
495456,42 137 
495538,89 65 
496084,68 144 
496085,97 144 
496087,03 144 
496564,29 101 
496565,43 100 
496565,43 52 
496606,35 1
496606,35 2
496606,35 2
496606,35 60 
496657,53 61 
497673,69 62 
498122,34 64 
498336,23 122 
498861,76 125 
499298,25 137 
499370,09 65 
499917,73 144 
499920,39 144 
499921,77 144 
499954,66 143 
500048,47 144 
500050,32 144 
500051,31 144 
502181,78 101 
502182,89 100 
502182,89 52 
502221 1
502221 2
502221 2
502221 60 
502458,65 112 
503304,77 114 
503339,22 60 
504379,4 61 
505398,56 63 
505421,3 60 
505706,26 112 
506575,96 114 
506619,73 60 
506839,94 61 
507852,28 62 
508213,4 64 
508494,89 122 
509027,43 125 
509549,04 65 
509656,02 137 
510096,6 144 
510098,08 144 
510099,12 144 
510576,18 101 
510577,35 100 
510577,35 52 
510618,22 2
510618,22 1
510618,22 2
510618,22 60 
510667,16 61 
511684,68 62 
512305,99 64 
512520,21 122 
513069,87 125 
513570,8 137 
513632,53 66 
514129,5 144 
514130,94 144 
514132 144 
514608,8 101 
514609,96 100 
