TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


2346409,34 62 
2346715,21 64 
2346964,13 121 
2347483,39 125 
2347761,01 137 
2347991,09 66 
2348537,59 144 
2348539,11 144 
2348540,08 144 
2350388,41 101 
2350389,9 100 
2350389,9 52 
2350425,34 1
2350425,34 1
2350425,34 2
2350425,34 60 
2350656,77 111 
2351076,43 114 
2351109,32 60 
2351289,02 61 
2352306,96 62 
2352764,4 64 
2353055,77 121 
2353608,2 125 
2353981,99 137 
2354121,2 65 
2354669,53 144 
2354670,93 144 
2354671,85 144 
2355150,34 101 
2355151,41 100 
2355151,41 52 
2355191,96 2
2355191,96 2
2355191,96 1
2355191,96 60 
2355367,48 61 
2356347,47 63 
2356358,1 60 
2356631,29 111 
2357266,39 114 
2357306,24 60 
2357695,07 61 
2358707,66 62 
2358909,13 64 
2359183,49 121 
2359754 125 
2360109,46 137 
2360269,86 66 
2360832,11 144 
2360833,71 144 
2360834,73 144 
2361298,96 101 
2361300,15 100 
2361300,15 52 
2361338,57 1
2361338,57 2
2361338,57 2
2361338,57 60 
2361566,99 61 
2362588,06 62 
2363156,29 64 
2363428,11 121 
2363960,56 125 
2364330,4 137 
2364468,23 66 
2364998,05 144 
2364999,48 144 
2365000,38 144 
2370399,47 101 
2370400,75 100 
2370400,75 52 
2370436,41 1
2370436,41 1
2370436,41 2
2370436,41 60 
2370771,58 111 
2371260,1 114 
2371285,04 60 
2371404,8 61 
2372417,86 62 
2372955,95 64 
2373342,81 121 
2373828,07 125 
2374095,94 137 
2374347,01 65 
2374878,81 144 
2374880,05 144 
2374880,85 144 
2375359,8 101 
2375360,83 100 
2375360,83 52 
2375383,98 1
2375383,98 2
2375383,98 2
2375383,98 60 
2375615,71 61 
2376632,83 62 
2376972,29 64 
2377240,79 121 
2377726,13 125 
2377916,62 137 
2378246,88 66 
2378793,8 144 
2378795,28 144 
2378796,24 144 
2380464 101 
2380465,2 100 
2380465,2 52 
2380500,42 1
2380500,42 2
2380500,42 2
2380500,42 60 
2380774,3 111 
2381292,86 114 
2381331,96 60 
2381422,5 61 
2382430,92 62 
2383077,11 64 
2383349,89 121 
2383914,18 125 
2384136,73 137 
2384428,31 66 
2384975,44 144 
2384976,78 144 
2384977,7 144 
2385455,7 101 
2385456,73 100 
2385456,73 52 
2385497,33 1
2385497,33 2
2385497,33 1
2385497,33 60 
2385904,2 61 
2386913,08 62 
2387850,28 64 
2388090,17 121 
2388617,6 125 
2389116,6 137 
2389178,03 66 
2389675,2 144 
2389676,84 144 
2389678,12 144 
2391029,66 101 
2391030,89 100 
2391030,89 52 
2391078,63 2
2391078,63 2
2391078,63 2
2391078,63 60 
2391448,2 61 
2392462,44 62 
2392515,34 64 
2392813,84 121 
2393334,17 125 
2393632,69 137 
2393842,4 66 
2394389,33 144 
2394390,86 144 
2394392,14 144 
2396922,38 101 
2396923,66 100 
2396923,66 52 
2396960,2 1
2396960,2 1
2396960,2 2
2396960,2 60 
2397340,1 111 
2398400,97 114 
2398442,86 60 
2398866,43 61 
2399876,83 62 
2400345,65 64 
2400794,27 121 
2401315,71 125 
2401562,52 137 
2401822,85 65 
2402370,2 144 
2402371,65 144 
2402372,7 144 
2402850,99 101 
2402852,08 100 
2402852,08 52 
2402892,7 2
2402892,7 2
2402892,7 2
2402892,7 60 
2403120,98 61 
2404140,6 62 
2404300,01 64 
2404562,92 121 
2405080,71 125 
2405248,57 137 
2405587,76 66 
2406136,33 144 
2406138,26 144 
2406139,38 144 
2406614,99 101 
2406616,13 100 
2406616,13 52 
2406658,04 1
2406658,04 2
2406658,04 2
2406658,04 60 
2406716,89 61 
2407739,94 62 
2408283,15 64 
2408544,99 121 
2409108,33 125 
2409620,74 66 
2410174,18 144 
2410176,51 144 
2410535,05 144 
2410648 101 
2410649,14 100 
2410649,14 52 
2410689,01 1
2410689,01 2
2410689,01 2
2410689,01 60 
2411256,32 61 
2412270,6 62 
2413094,11 64 
2413421,46 121 
2413977,16 125 
2414312,39 137 
2414484,41 66 
2415033,58 144 
2415035,17 144 
2415036,14 144 
2417604,56 101 
2417606,44 100 
2417606,44 52 
2417653,31 2
2417653,31 1
2417653,31 1
2417653,31 60 
2417903,97 111 
2418380,23 114 
2418403,3 60 
2418520,58 61 
2419535,18 62 
2419852,04 64 
2420140,86 122 
2420661,06 125 
2420934,19 137 
2421181,56 66 
2421730,89 144 
2421732,44 144 
2421733,46 144 
2424105,29 101 
2424106,57 100 
2424106,57 52 
2424151,26 1
2424151,26 2
2424151,26 2
2424151,26 60 
2424659,62 113 
2425263,19 114 
2425300,68 60 
2425530,56 61 
2426551,54 62 
2426823,59 64 
2427034,46 123 
2427569,16 125 
2428079,46 66 
2428634,83 144 
2428636,72 144 
2428755,03 144 
2432286,39 101 
2432287,54 100 
2432287,54 52 
2432331,96 1
2432331,96 2
2432331,96 1
2432331,96 60 
2432527,65 113 
2433036,5 114 
2433082,55 60 
2433273,21 61 
2434281,37 62 
2434909,34 64 
2435154,68 122 
2435670,31 125 
2436179,02 65 
2436202,76 137 
2436740,64 144 
2436742,76 144 
2436744,2 144 
2437205,75 101 
2437206,82 100 
2437206,82 52 
2437246,86 1
2437246,86 2
2437246,86 2
2437246,86 60 
2437670,46 61 
2438584,51 63 
2438596,25 60 
2438940,59 112 
2439194,24 114 
2439229,53 60 
2439507,03 61 
2440530,65 62 
2440803,11 64 
2441036,02 122 
2441592,72 125 
2441832,71 137 
2442110,67 65 
2442656,93 144 
2442658,19 144 
2442659,08 144 
2443136,92 101 
2443137,99 100 
2443137,99 52 
2443179,16 1
2443179,16 2
2443179,16 2
2443179,16 60 
2443240 61 
2444260,96 62 
2444278,11 64 
2444538,65 122 
2445109,73 125 
2445552,08 137 
2445626,53 65 
2446172,3 144 
2446173,79 144 
2446174,77 144 
2446653,04 101 
2446654,3 100 
2446654,3 52 
2446693,49 1
2446693,49 2
2446693,49 2
2446693,49 60 
2446752,56 61 
2447776,24 62 
2447950,02 64 
2448180,32 122 
2448699,61 125 
2449206,52 65 
2449254,93 137 
2449738,38 144 
2449740,54 144 
2449741,52 144 
2450217,78 101 
2450218,94 100 
2450218,94 52 
2450259,22 2
2450259,22 2
2450259,22 2
2450259,22 60 
2450525,31 61 
2451541,69 62 
2451990,74 64 
2452254,99 122 
2452809,63 125 
2453322,56 66 
2453875,27 144 
2453876,62 144 
2454350,62 101 
2454352,64 100 
2454352,64 52 
2454374,82 1
2454374,82 1
2454374,82 1
2454374,82 60 
2454379,66 112 
2454678,46 114 
2454724,56 60 
2455022,47 61 
2456012,5 63 
2456024,73 60 
2456277,5 112 
2456615,62 114 
2456656,9 60 
2456909,68 61 
2457922,91 62 
2458377,71 64 
2458630,76 122 
2459188,4 125 
2459605,19 137 
2459702,75 65 
2460251,46 144 
2460252,85 144 
2460253,88 144 
2460730,62 101 
2460731,73 100 
2460731,73 52 
2460773,78 1
2460773,78 2
2460773,78 2
2460773,78 60 
2464983,03 61 
2465994,75 63 
2466005,22 60 
2466240,39 112 
2466601,76 114 
2466637,14 60 
2466892,65 61 
2467903,74 62 
2468233,06 64 
2468472,56 122 
2469020,25 125 
2469308,43 137 
2469532,23 65 
2470062,85 144 
2470064,01 144 
2470064,81 144 
2470544,1 101 
2470545,17 100 
2470545,17 52 
2470585,92 1
2470585,92 2
2470585,92 2
2470585,92 60 
2470763,79 61 
2471785,73 62 
2472003,28 64 
2472265,76 122 
2472791,64 125 
2472936,59 137 
2473298,57 65 
2473846,8 144 
2473848,33 144 
2473849,37 144 
2474327,19 101 
2474328,26 100 
2474328,26 52 
2474368,02 2
2474368,02 1
2474368,02 2
2474368,02 60 
2474505,35 61 
2475517,96 62 
2476511,96 64 
2476749,58 122 
2477273,69 125 
2477591,27 137 
2477780,42 66 
2478328,46 144 
2478330,23 144 
2478331,28 144 
2479995,56 101 
2479996,88 100 
2479996,88 52 
2480032,87 1
2480032,87 2
2480032,87 2
2480032,87 60 
2480255,4 112 
2481513,58 114 
2481549,08 60 
2482293,3 61 
2483314,53 62 
2483921,81 64 
2484172,49 122 
2484748,14 125 
2485219,51 137 
2485279,94 65 
2485809,73 144 
2485810,97 144 
2485812,33 144 
2486289,84 101 
2486290,91 100 
2486290,91 52 
2486332,11 1
2486332,11 2
2486332,11 2
2486332,11 60 
2486369,36 61 
2487382,1 62 
2487657,35 64 
2487920,72 122 
2488453,3 125 
2488771,03 137 
2488961,03 65 
2489507,5 144 
2489508,91 144 
2489510,36 144 
2489987,58 101 
2489988,72 100 
2489988,72 52 
2490029,49 1
2490029,49 2
2490029,49 1
2490029,49 60 
2490217,35 61 
2491110,45 63 
2491129,05 60 
2531277,38 61 
2532297,74 62 
2532582,38 64 
2532767,27 121 
2533287,68 125 
2533585,06 137 
2533795,64 66 
2534343,91 144 
2534345,35 144 
2534346,37 144 
2534823 101 
2534824,13 100 
2534824,13 52 
2534864,97 1
2534864,97 2
2534864,97 2
2534864,97 60 
2604686,55 61 
2605709,02 62 
2606123,25 64 
2606374,02 121 
2606897,06 125 
2606962,55 137 
2607405,14 66 
2607951,62 144 
2607952,87 144 
2607953,87 144 
2609520,34 101 
2609521,72 100 
2609521,72 52 
2609559,08 2
2609559,08 2
2609559,08 2
2609559,08 60 
2609787,85 111 
2610285,37 114 
2610307,42 60 
2610402,72 61 
2611422,07 62 
2611674,27 64 
2611939,07 121 
2612461,32 125 
2612476,9 137 
2612969,53 66 
2613517,32 144 
2613518,82 144 
2613519,86 144 
2617399,91 101 
2617401,19 100 
2617401,19 52 
2617437,58 1
2617437,58 2
2617437,58 2
2617437,58 60 
2617656,15 112 
2618041,24 114 
2618071,8 60 
2618333,45 61 
2619353,37 62 
2619590,29 64 
2619862,16 123 
2620383,84 125 
2620871,14 137 
2620919,8 66 
2621431,54 144 
2621432,83 144 
2621433,82 144 
2621812,28 142 
2621913,08 144 
2621914,62 144 
2621916,61 101 
2621918,07 100 
2621918,07 52 
2621952,82 1
