TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


647237,21 65 
647684,13 144 
647686,27 144 
647687,82 144 
648164,29 101 
648165,61 100 
648165,61 51 
648205,68 1
648205,68 1
648205,68 1
648205,68 60 
648284,67 61 
649308,24 62 
649471,95 64 
649812,29 121 
650320,51 125 
650644,48 137 
650836,93 65 
651283,33 144 
651284,97 144 
651286,09 144 
651764,06 101 
651765,3 100 
651765,3 51 
651804,21 2
651804,21 2
651804,21 2
651804,21 60 
651991,5 61 
652966,82 63 
652987,16 60 
653335,29 111 
653516,73 114 
653553,79 60 
653598,85 61 
654619,38 62 
654735,93 64 
655064,25 121 
655592,58 125 
655974,7 137 
656100,13 66 
656548,1 144 
656549,59 144 
656550,62 144 
658325,47 101 
658326,74 100 
658326,74 51 
658368,81 1
658368,81 2
658368,81 1
658368,81 60 
658707,86 61 
659718,44 62 
659764,01 64 
660126,19 121 
660671,73 125 
661066,21 137 
661182,1 65 
661611,98 144 
661613,78 144 
661615,1 144 
662094,16 101 
662095,38 100 
662095,38 51 
662134,13 1
662134,13 2
662134,13 2
662134,13 60 
662477,66 61 
663501,44 62 
663540,96 64 
663894,84 121 
664467,71 125 
664598,07 137 
664979,82 65 
665429,62 144 
665431,35 144 
665432,55 144 
665978,52 101 
665980,22 100 
665980,22 51 
666017,58 1
666017,58 2
666017,58 2
666017,58 60 
666368,25 61 
667382,53 62 
667479,27 64 
667801,79 121 
668323,76 125 
668641,65 137 
668846,41 65 
669277,38 144 
669278,84 144 
669279,93 144 
671225,96 101 
671227,52 100 
671227,52 51 
671280,99 1
671280,99 2
671280,99 2
671280,99 60 
671560,04 111 
671784,04 114 
671831,34 60 
672132,59 61 
673146,99 62 
673565,9 64 
673852,9 121 
674370,42 125 
674894,39 65 
674931,41 137 
675327,01 144 
675328,61 144 
675329,79 144 
675915,19 101 
675916,79 100 
675916,79 51 
675962,99 2
675962,99 1
675962,99 2
675962,99 60 
676278,1 61 
677252,46 63 
677263,28 60 
677629,65 111 
677867,82 114 
677912,32 60 
678275,17 61 
679295,17 62 
679441,89 64 
679784,44 121 
680302,8 125 
680764,77 137 
680828,53 66 
681256,16 144 
681258,17 144 
681259,21 144 
681735,66 101 
681736,84 100 
681736,84 51 
681794,3 1
681794,3 2
681794,3 2
681794,3 60 
681865,79 61 
682878,35 62 
683075,95 64 
683365,4 121 
683925,73 125 
684408,15 137 
684473,02 65 
684889,46 144 
684891,33 144 
684892,45 144 
685369,36 101 
685370,58 100 
685370,58 51 
685409,81 1
685409,81 2
685409,81 1
685409,81 60 
685732,43 61 
686744,88 62 
687717,13 64 
