TotalRequired,  100
t_hold_target,  450
T_Hold_Lev,  1000


1356818,68 137 
1357252,19 144 
1357254,39 144 
1357255,78 144 
1357731,35 101 
1357732,63 100 
1357732,63 52 
1357773,27 1
1357773,27 2
1357773,27 1
1357773,27 60 
1357808,92 61 
1358823,82 62 
1359274,18 64 
1359718,47 122 
1360293,83 125 
1360803,19 65 
1361210,86 137 
1361350,54 144 
1361352,14 144 
1361353,26 144 
1363335,38 101 
1363336,9 100 
1363336,9 52 
1363388 1
1363388 1
1363388 2
1363388 60 
1364061,66 61 
1365074,82 62 
1365286,57 64 
1365652,05 122 
1366208,57 125 
1366716,9 65 
1367145,63 137 
1367242,8 144 
1367244,31 144 
1367245,67 144 
1369129,14 101 
1369130,72 100 
1369130,72 52 
1369169,44 2
1369169,44 2
1369169,44 2
1369169,44 60 
1369835,68 61 
1370853,43 62 
1371248,43 64 
1371615,35 122 
1372124,67 125 
1372532,93 137 
1372631,68 66 
1373164,67 144 
1373166,28 144 
1373167,37 144 
1376049,27 101 
1376050,54 100 
1376050,54 52 
1376084,13 1
1376084,13 2
1376084,13 1
1376084,13 60 
1376508,32 112 
1376636,52 114 
1376683,46 60 
1376918,42 61 
1377934,51 62 
1379630,27 64 
1380135,24 122 
1380656,53 125 
1380970,83 137 
1381178,32 65 
1381728,8 144 
1381730,3 144 
1381731,65 144 
1382206,94 101 
1382208,16 100 
1382208,16 52 
1382248,45 1
1382248,45 1
1382248,45 2
1382248,45 60 
1382380,91 61 
1383397,95 62 
1383592,78 64 
1383977,68 122 
1384509,36 125 
1385029,02 65 
1385080,8 137 
1385577,02 144 
1385578,41 144 
1385579,43 144 
1387292,56 101 
1387294,2 100 
1387294,2 52 
1387330,22 1
1387330,22 2
1387330,22 2
1387330,22 60 
1387672,46 112 
1387901,27 114 
1387946,49 60 
1388225,96 61 
1389245,52 62 
1390052,59 64 
1390458,91 122 
1390984,99 125 
1391284,42 137 
1391509,97 65 
1392044,45 144 
1392046,04 144 
1392047,08 144 
1392520,02 101 
1392521,32 100 
1392521,32 52 
1392561,51 2
1392561,51 2
1392561,51 2
1392561,51 60 
1392921,8 61 
1393943,65 62 
1394799,49 64 
1395082,83 122 
1395600,6 125 
1396107,74 66 
1396393,77 137 
1396655,97 144 
1396657,55 144 
1396659,03 144 
1418825,79 101 
1418827,28 100 
1418827,28 52 
1418869,85 1
1418869,85 2
1418869,85 2
1418869,85 60 
1437591,32 61 
1438612,69 62 
1439071,42 64 
1439443,4 121 
1440014,03 125 
1440425,99 137 
1440525,62 66 
1441059,62 144 
1441061,21 144 
1441062,28 144 
1444353,7 101 
1444355,28 100 
1444355,28 52 
1444394,89 1
1444394,89 2
1444394,89 2
1444394,89 60 
1501503,17 112 
1501582,92 114 
1501625,9 60 
1502093,5 111 
1502431,26 114 
1502476,78 60 
1503188,92 112 
1503307,79 114 
1503341,73 60 
1519838,5 61 
1520852,64 62 
1521290,78 64 
1521703,4 121 
1522225,6 125 
1522733,77 66 
1522955,47 137 
1523281,61 144 
1523283,12 144 
1523284,33 144 
