TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


766767,22 60 
767109,45 61 
768119,31 62 
768399,55 64 
768705,29 121 
769260,6 125 
769562,68 137 
769778,94 66 
770026,77 144 
770029,3 144 
770031,09 144 
770508,58 101 
770509,85 100 
770509,85 51 
770549,46 1
770549,46 2
770549,46 2
770549,46 60 
784456,22 111 
784540,47 114 
784597,46 60 
785844,49 111 
785941,11 114 
785962,06 60 
785979,11 112 
786083,49 114 
786128,14 60 
786529,35 61 
787543,6 62 
793442,63 64 
797551,37 252 
797551,37 101 
797553,13 100 
797553,13 51 
797575,32 1
797575,32 2
797575,32 2
797575,32 60 
814868,9 61 
815884,27 62 
823228,75 64 
825892,35 252 
825892,35 101 
825893,98 100 
825893,98 51 
825913,99 1
825913,99 2
825913,99 2
825913,99 60 
834630,54 112 
834727,41 114 
834746,64 60 
865074,65 61 
866083,76 62 
866276,68 64 
866616,7 121 
867148,44 125 
867664,18 65 
867924,03 144 
867928,74 144 
868288,76 144 
868392 101 
868393,25 100 
868393,25 51 
868433,61 1
868433,61 2
868433,61 1
868433,61 60 
868744,72 61 
869600,76 63 
869616,66 60 
870131,61 111 
870520 114 
870566,09 60 
870592,02 61 
871622,63 62 
871679,8 64 
872046,05 121 
872573,33 125 
872922,93 137 
873095,87 65 
873350,38 144 
873352,89 144 
873354,67 144 
873822,77 101 
873824,12 100 
873824,12 51 
873864,96 2
873864,96 2
873864,96 2
873864,96 60 
874176,63 61 
875198,4 62 
875259,28 64 
875690,64 121 
876234,47 125 
876556,56 137 
876743,69 66 
876997,85 144 
877001,66 144 
877003,1 144 
877473,37 101 
877474,63 100 
877474,63 51 
877513,7 1
877513,7 2
877513,7 2
877513,7 60 
877679,94 61 
878697 62 
879162,26 64 
879600,45 121 
880120,52 125 
880644,41 65 
880647,13 137 
880896,85 144 
880901,41 144 
880902,87 144 
881371 101 
881372,12 100 
881372,12 51 
881412,41 1
881412,41 2
881412,41 1
881412,41 60 
881702,47 61 
882713,85 62 
882787,56 64 
883221,76 121 
883753,35 125 
884145,09 137 
884274,63 65 
884525,93 144 
884527,47 144 
884531,88 144 
885002,84 101 
885004,08 100 
885004,08 51 
885044,54 1
885044,54 2
885044,54 2
885044,54 60 
885388,98 61 
886398,75 63 
886411,27 60 
886817,99 111 
887099,23 114 
887143,75 60 
887563,1 61 
888577,83 62 
889020,41 64 
889363,69 121 
889888,39 125 
890171,04 137 
890407,49 65 
890658,09 144 
890660 144 
890661,24 144 
