TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


1103830,48 121 
1104379,62 125 
1104678,56 137 
1104903,17 65 
1105352,15 144 
1105354,11 144 
1105355,71 144 
1105831,58 101 
1105832,77 100 
1105832,77 51 
1105871,86 1
1105871,86 2
1105871,86 2
1105871,86 60 
1105914,28 61 
1106939,3 62 
1107160,75 64 
1107488,84 121 
1108043,73 125 
1108239,98 137 
1108550,44 65 
1108984,18 144 
1108985,94 144 
1108987,4 144 
1109463,13 101 
1109464,29 100 
1109464,29 51 
1109504,13 1
1109504,13 1
1109504,13 2
1109504,13 60 
1109691,64 61 
1110703,2 62 
1110743,75 64 
1111052,84 121 
1111609,48 125 
1111998,31 137 
1112116,84 65 
1112550,6 144 
1112552,04 144 
1112553,19 144 
1113028,99 101 
1113030,11 100 
1113030,11 51 
1113069,42 1
1113069,42 2
1113069,42 1
1113069,42 60 
1113217,14 61 
1114236,16 62 
1114979,83 64 
1115256,97 121 
1115837,84 125 
1116348,9 65 
1116805,88 144 
1116809,92 144 
1116944,92 144 
1117277,53 101 
1117279,09 100 
1117279,09 51 
1117318,64 1
1117318,64 2
1117318,64 1
1117318,64 60 
1117352,51 61 
1118367,15 62 
1118437,49 64 
1118811,99 121 
1119342,5 125 
1119645,64 137 
1119865,14 65 
1120314,7 144 
1120316,41 144 
1120317,49 144 
1120792,88 101 
1120794,17 100 
1120794,17 51 
1120833,43 2
1120833,43 2
1120833,43 2
1120833,43 60 
1120887,06 61 
1121901,59 62 
1122009,21 64 
1122323,59 121 
1122886 125 
1123397,49 66 
1123447,7 137 
1123847,66 144 
1123849,88 144 
1123851,88 144 
1125590,68 101 
1125592,39 100 
1125592,39 51 
1125631,89 1
1125631,89 2
1125631,89 2
1125631,89 60 
1125942,26 111 
1126723,03 114 
1126764,79 60 
1126875,74 61 
1127898,26 62 
1128112,94 64 
1128445,88 121 
1129016,43 125 
1129282,13 137 
1129528,44 65 
1129978,27 144 
1129979,67 144 
1129980,66 144 
1130544,35 101 
1130546,08 100 
1130546,08 51 
1130597,16 2
1130597,16 2
1130597,16 2
1130597,16 60 
1130950,53 61 
1131923,1 63 
1131931,22 60 
1132232,22 111 
1132569,4 114 
1132612,67 60 
1132760,11 61 
1133779,46 62 
1134145,66 64 
1134462,19 121 
1135018,87 125 
1135331,71 137 
1135543,74 66 
1135993,39 144 
1135995,24 144 
1135996,37 144 
1136470,97 101 
1136472,16 100 
1136472,16 51 
1136511,87 1
1136511,87 2
1136511,87 2
1136511,87 60 
1138454,47 61 
1139476,7 62 
1139593,89 64 
1139961,92 121 
1140532,21 125 
1140813,99 137 
1141040,87 65 
1141497,28 144 
1141498,81 144 
1141499,95 144 
1141969,54 101 
1141970,71 100 
1141970,71 51 
1142009,95 1
1142009,95 2
1142009,95 2
1142009,95 60 
1142144,97 61 
1143160,24 62 
1143336,3 64 
1143629,69 121 
1144196,26 125 
1144428,57 137 
1144706,22 65 
1145155,64 144 
1145157,45 144 
1145158,83 144 
1146416,25 101 
1146418,21 100 
1146418,21 51 
1146458,55 1
1146458,55 2
1146458,55 2
1146458,55 60 
1146725,03 111 
1147174,21 114 
1147208,06 60 
1147513,35 61 
1148525,55 62 
1148858,35 64 
1149191,13 121 
1149716,55 125 
1150159,82 137 
1150236,9 65 
1150672,01 144 
1150674,83 144 
1150676,01 144 
1151149,5 101 
1151150,66 100 
1151150,66 51 
1151223,41 1
1151223,41 1
1151223,41 1
1151223,41 60 
1151357,1 61 
1152372,7 62 
1152654,35 64 
1152938,76 121 
1153491,87 125 
1153766,57 137 
1154003,36 65 
1154453,79 144 
1154455,77 144 
1154457,31 144 
1154930,64 101 
1154931,81 100 
1154931,81 51 
1154972,15 1
1154972,15 2
1154972,15 1
1154972,15 60 
1155106,96 61 
1156122 62 
1156183,96 64 
1156514,25 121 
1157092,82 125 
1157600,47 65 
1158058,52 144 
1158062,07 144 
1158215,42 144 
1158529,69 101 
1158530,97 100 
1158530,97 51 
1158571,06 1
1158571,06 2
1158571,06 2
1158571,06 60 
1159160,81 61 
1160171,66 62 
1160326,07 64 
1160644,02 121 
1161208,95 125 
1161497,5 137 
1161716,21 65 
1162169,45 144 
1162171,19 144 
1162172,25 144 
1162644,88 101 
1162646,12 100 
1162646,12 51 
1162703,15 1
1162703,15 2
1162703,15 2
1162703,15 60 
1162817,3 61 
1163836,75 62 
1164026,58 64 
1164345,74 121 
1164876,4 125 
1165390,12 137 
1165449,49 65 
1165832,26 144 
1165834,12 144 
1165835,71 144 
1166311,67 101 
1166312,86 100 
1166312,86 51 
1166351,92 2
1166351,92 2
1166351,92 2
1166351,92 60 
1166583,03 61 
1167516,46 63 
1167534,43 60 
1167813,04 111 
1167959,62 114 
1168001,74 60 
1168157,97 61 
1169168,13 62 
1172587,55 64 
1172935,08 121 
1173473,08 125 
1173869,59 137 
1173995,67 66 
1174447,31 144 
1174448,84 144 
1174450,02 144 
1174924,62 101 
1174925,8 100 
1174925,8 51 
1174965,49 1
1174965,49 1
1174965,49 2
1174965,49 60 
1175025,34 61 
1176048,02 62 
1176349,91 64 
1176653,81 121 
1177188,44 125 
1177415,97 137 
1177711,86 65 
1178159,94 144 
1178161,68 144 
1178163,37 144 
1178640,98 101 
1178642,23 100 
1178642,23 51 
1178681,12 2
1178681,12 2
1178681,12 2
1178681,12 60 
1178725,67 61 
1179749,2 62 
1179816,15 64 
1180135,07 121 
1180714,69 125 
1180997,7 137 
1181226,38 66 
1181675,23 144 
1181676,86 144 
1181678,12 144 
1182155,54 101 
1182156,82 100 
1182156,82 51 
1182197,63 1
1182197,63 2
1182197,63 2
1182197,63 60 
1185598,66 61 
1186496,35 63 
1186511,85 60 
1186808,61 111 
1187269,79 114 
1187311,33 60 
1199032,61 111 
1199879,33 114 
1199923,72 60 
1200117,56 61 
1201140,11 62 
